backend-1   | 15:19:55.732 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received tool_call for chat-tools #1 (qwen3:4b-instruct): function=list_products arguments={category=electronics, inStockOnly=true, limit=50}
backend-1   | 15:20:11.015 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #30 (qwen3:4b-instruct):  result
backend-1   | 15:20:11.259 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #31 (qwen3:4b-instruct):  list
backend-1   | 15:20:11.433 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #32 (qwen3:4b-instruct):  includes
backend-1   | 15:20:11.680 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #33 (qwen3:4b-instruct):  only
backend-1   | 15:20:11.990 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #34 (qwen3:4b-instruct):  one
backend-1   | 15:20:12.196 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #35 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:12.448 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #36 (qwen3:4b-instruct): .
backend-1   | 15:20:12.647 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #37 (qwen3:4b-instruct):  The
backend-1   | 15:20:12.913 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #38 (qwen3:4b-instruct):  Samsung
backend-1   | 15:20:13.092 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #39 (qwen3:4b-instruct):  Galaxy
backend-1   | 15:20:13.290 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #40 (qwen3:4b-instruct):  S
backend-1   | 15:20:13.480 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #41 (qwen3:4b-instruct): 2
backend-1   | 15:20:13.704 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #42 (qwen3:4b-instruct): 1
backend-1   | 15:20:13.922 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #43 (qwen3:4b-instruct):  is
backend-1   | 15:20:14.128 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #44 (qwen3:4b-instruct):  not
backend-1   | 15:20:14.320 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #45 (qwen3:4b-instruct):  an
backend-1   | 15:20:14.737 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #46 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:14.922 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #47 (qwen3:4b-instruct): .
backend-1   | 
backend-1   | 
backend-1   | 15:20:15.287 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #48 (qwen3:4b-instruct): To
backend-1   | 15:20:15.511 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #49 (qwen3:4b-instruct):  provide
backend-1   | 15:20:15.703 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #50 (qwen3:4b-instruct):  full
backend-1   | 15:20:15.903 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #51 (qwen3:4b-instruct):  details
backend-1   | 15:20:16.113 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #52 (qwen3:4b-instruct):  about
backend-1   | 15:20:16.394 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #53 (qwen3:4b-instruct):  the
backend-1   | 15:20:16.583 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #54 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:17.186 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #56 (qwen3:4b-instruct): 1
backend-1   | 15:20:17.350 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #57 (qwen3:4b-instruct): 3
backend-1   | 15:20:17.536 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #58 (qwen3:4b-instruct):  Pro
backend-1   | 15:20:17.976 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #59 (qwen3:4b-instruct): ,
backend-1   | 15:20:18.270 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #60 (qwen3:4b-instruct):  I
backend-1   | 15:20:19.140 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #61 (qwen3:4b-instruct):  will
backend-1   | 15:20:19.495 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #62 (qwen3:4b-instruct):  now
backend-1   | 15:20:20.299 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #63 (qwen3:4b-instruct):  fetch
backend-1   | 15:20:20.564 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #64 (qwen3:4b-instruct):  its
backend-1   | 15:20:20.860 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #65 (qwen3:4b-instruct):  snapshot
backend-1   | 15:20:21.084 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #66 (qwen3:4b-instruct): .
backend-1   | 
backend-1   | 
backend-1   | 15:20:26.023 [http-nio-4001-exec-4] TRACE org.zalando.logbook.Logbook - {
backend-1   |   "origin" : "remote",
backend-1   |   "headers" : {
backend-1   |     "accept" : [ "application/json, text/plain, */*" ],
backend-1   |     "accept-encoding" : [ "gzip, deflate, br, zstd" ],
backend-1   |     "accept-language" : [ "en,en-US;q=0.9" ],
backend-1   |     "authorization" : [ "Bearer eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjbGllbnQiLCJhdXRoIjpbeyJhdXRob3JpdHkiOiJST0xFX0NMSUVOVCJ9XSwiaWF0IjoxNzY1MDM0MjcwLCJleHAiOjE3NjUwMzc4NzB9.9bp7I7VCC0b6H13aL0QrvctQXo3pQvjo51V-FuKGGho" ],
backend-1   |     "connection" : [ "keep-alive" ],
backend-1   |     "host" : [ "localhost:4001" ],
backend-1   |     "origin" : [ "http://localhost:8081" ],
backend-1   |     "referer" : [ "http://localhost:8081/" ],
backend-1   |     "sec-ch-ua" : [ "\"Chromium\";v=\"142\", \"Google Chrome\";v=\"142\", \"Not_A Brand\";v=\"99\"" ],
backend-1   |     "sec-ch-ua-mobile" : [ "?0" ],
backend-1   |     "sec-ch-ua-platform" : [ "\"macOS\"" ],
backend-1   |     "sec-fetch-dest" : [ "empty" ],
backend-1   |     "sec-fetch-mode" : [ "cors" ],
backend-1   |     "sec-fetch-site" : [ "same-site" ],
backend-1   |     "user-agent" : [ "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" ]
backend-1   |   },
backend-1   |   "protocol" : "HTTP/1.1",
backend-1   |   "type" : "request",
backend-1   |   "uri" : "http://localhost:4001/users/me",
backend-1   |   "method" : "GET",
backend-1   |   "correlation" : "bb31f1d0f5c393ef",
backend-1   |   "body" : ""
backend-1   | }
backend-1   | 15:20:26.023 [http-nio-4001-exec-5] TRACE org.zalando.logbook.Logbook - {
backend-1   |   "origin" : "remote",
backend-1   |   "headers" : {
backend-1   |     "accept" : [ "application/json, text/plain, */*" ],
backend-1   |     "accept-encoding" : [ "gzip, deflate, br, zstd" ],
backend-1   |     "accept-language" : [ "en,en-US;q=0.9" ],
backend-1   |     "authorization" : [ "Bearer eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjbGllbnQiLCJhdXRoIjpbeyJhdXRob3JpdHkiOiJST0xFX0NMSUVOVCJ9XSwiaWF0IjoxNzY1MDM0MjcwLCJleHAiOjE3NjUwMzc4NzB9.9bp7I7VCC0b6H13aL0QrvctQXo3pQvjo51V-FuKGGho" ],
backend-1   |     "connection" : [ "keep-alive" ],
backend-1   |     "host" : [ "localhost:4001" ],
backend-1   |     "origin" : [ "http://localhost:8081" ],
backend-1   |     "referer" : [ "http://localhost:8081/" ],
backend-1   |     "sec-ch-ua" : [ "\"Chromium\";v=\"142\", \"Google Chrome\";v=\"142\", \"Not_A Brand\";v=\"99\"" ],
backend-1   |     "sec-ch-ua-mobile" : [ "?0" ],
backend-1   |     "sec-ch-ua-platform" : [ "\"macOS\"" ],
backend-1   |     "sec-fetch-dest" : [ "empty" ],
backend-1   |     "sec-fetch-mode" : [ "cors" ],
backend-1   |     "sec-fetch-site" : [ "same-site" ],
backend-1   |     "user-agent" : [ "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" ]
backend-1   |   },
backend-1   |   "protocol" : "HTTP/1.1",
backend-1   |   "type" : "request",
backend-1   |   "uri" : "http://localhost:4001/api/cart",
backend-1   |   "method" : "GET",
backend-1   |   "correlation" : "adde02c7bccd1703",
backend-1   |   "body" : ""
backend-1   | }
backend-1   | 15:20:26.173 [http-nio-4001-exec-4] TRACE org.zalando.logbook.Logbook - {
backend-1   |   "duration" : 149,
backend-1   |   "headers" : {
backend-1   |     "Access-Control-Allow-Credentials" : [ "true" ],
backend-1   |     "Access-Control-Allow-Origin" : [ "http://localhost:8081" ],
backend-1   |     "Access-Control-Expose-Headers" : [ "Content-Type, X-Requested-With, Cache-Control, Last-Event-ID" ],
backend-1   |     "Cache-Control" : [ "no-cache, no-store, max-age=0, must-revalidate" ],
backend-1   |     "Connection" : [ "keep-alive" ],
backend-1   |     "Content-Type" : [ "application/json;charset=UTF-8" ],
backend-1   |     "Date" : [ "Sat, 06 Dec 2025 15:20:26 GMT" ],
backend-1   |     "Expires" : [ "0" ],
backend-1   |     "Keep-Alive" : [ "timeout=60" ],
backend-1   |     "Pragma" : [ "no-cache" ],
backend-1   |     "Transfer-Encoding" : [ "chunked" ],
backend-1   |     "Vary" : [ "Origin", "Access-Control-Request-Method", "Access-Control-Request-Headers" ],
backend-1   |     "X-Content-Type-Options" : [ "nosniff" ],
backend-1   |     "X-Frame-Options" : [ "DENY" ],
backend-1   |     "X-XSS-Protection" : [ "0" ]
backend-1   |   },
backend-1   |   "protocol" : "HTTP/1.1",
backend-1   |   "correlation" : "bb31f1d0f5c393ef",
backend-1   |   "origin" : "local",
backend-1   |   "body" : {
backend-1   |     "id" : 3,
backend-1   |     "username" : "client",
backend-1   |     "email" : "alice.smith@yahoo.com",
backend-1   |     "roles" : [ "ROLE_CLIENT" ],
backend-1   |     "firstName" : "Alice",
backend-1   |     "lastName" : "Smith"
backend-1   |   },
backend-1   |   "type" : "response",
backend-1   |   "status" : 200
backend-1   | }
backend-1   | 15:20:26.217 [http-nio-4001-exec-5] TRACE org.zalando.logbook.Logbook - {
backend-1   |   "duration" : 193,
backend-1   |   "headers" : {
backend-1   |     "Access-Control-Allow-Credentials" : [ "true" ],
backend-1   |     "Access-Control-Allow-Origin" : [ "http://localhost:8081" ],
backend-1   |     "Access-Control-Expose-Headers" : [ "Content-Type, X-Requested-With, Cache-Control, Last-Event-ID" ],
backend-1   |     "Cache-Control" : [ "no-cache, no-store, max-age=0, must-revalidate" ],
backend-1   |     "Connection" : [ "keep-alive" ],
backend-1   |     "Content-Type" : [ "application/json;charset=UTF-8" ],
backend-1   |     "Date" : [ "Sat, 06 Dec 2025 15:20:26 GMT" ],
backend-1   |     "Expires" : [ "0" ],
backend-1   |     "Keep-Alive" : [ "timeout=60" ],
backend-1   |     "Pragma" : [ "no-cache" ],
backend-1   |     "Transfer-Encoding" : [ "chunked" ],
backend-1   |     "Vary" : [ "Origin", "Access-Control-Request-Method", "Access-Control-Request-Headers" ],
backend-1   |     "X-Content-Type-Options" : [ "nosniff" ],
backend-1   |     "X-Frame-Options" : [ "DENY" ],
backend-1   |     "X-XSS-Protection" : [ "0" ]
backend-1   |   },
backend-1   |   "protocol" : "HTTP/1.1",
backend-1   |   "correlation" : "adde02c7bccd1703",
backend-1   |   "origin" : "local",
backend-1   |   "body" : {
backend-1   |     "username" : "client",
backend-1   |     "items" : [ ],
backend-1   |     "totalPrice" : 0,
backend-1   |     "totalItems" : 0
backend-1   |   },
backend-1   |   "type" : "response",
backend-1   |   "status" : 200
backend-1   | }
backend-1   | 15:20:27.881 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received tool_call for chat-tools #67 (qwen3:4b-instruct): function=get_product_snapshot arguments={name=iPhone 13 Pro}
ollama      | [GIN] 2025/12/06 - 15:20:28 | 200 | 31.169446074s |      172.19.0.5 | POST     "/api/chat"
backend-1   | 15:20:28.437 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools completed for model qwen3:4b-instruct in 105 s (68 chunks)
backend-1   | 15:20:28.438 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools stream closed for model qwen3:4b-instruct
backend-1   | 15:20:28.439 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 2: Ollama responded with 66 chunk(s) in 31207 ms
backend-1   | 15:20:28.439 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 2: Ollama requested 1 tool call(s): [get_product_snapshot]
backend-1   | 15:20:28.439 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 2: Executing tool get_product_snapshot with args {name=iPhone 13 Pro}
backend-1   | 15:20:28.439 [boundedElastic-1] INFO  c.a.t.s.o.f.OllamaToolRegistry - Executing tool get_product_snapshot with args {name=iPhone 13 Pro}
backend-1   | 15:20:28.440 [boundedElastic-1] INFO  c.a.t.s.o.f.ProductSnapshotFunctionHandler - Executing get_product_snapshot with arguments: {name=iPhone 13 Pro}
backend-1   | 15:20:28.442 [boundedElastic-1] INFO  c.a.t.s.o.f.ProductSnapshotFunctionHandler - Fetching product snapshot by name='iPhone 13 Pro'
backend-1   | 15:20:28.552 [boundedElastic-1] INFO  c.a.t.s.o.f.ProductSnapshotFunctionHandler - Resolved product snapshot for iPhone 13 Pro
backend-1   | 15:20:28.569 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 2: Tool get_product_snapshot responded (payload 377 chars)
backend-1   | 15:20:28.572 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 3: forwarding 6 historical messages to Ollama (tools=2)
backend-1   | 15:20:39.814 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #69 (qwen3:4b-instruct): We
backend-1   | 15:20:40.303 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #70 (qwen3:4b-instruct):  have
backend-1   | 15:20:40.537 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #71 (qwen3:4b-instruct):  the
backend-1   | 15:20:41.064 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #72 (qwen3:4b-instruct):  following
backend-1   | 15:20:41.281 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #73 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:41.512 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #74 (qwen3:4b-instruct):  model
backend-1   | 15:20:41.801 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #75 (qwen3:4b-instruct):  in
backend-1   | 15:20:42.141 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #76 (qwen3:4b-instruct):  stock
backend-1   | 15:20:42.429 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #77 (qwen3:4b-instruct): :
backend-1   | 
backend-1   | 
backend-1   | 15:20:42.713 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #78 (qwen3:4b-instruct): -
backend-1   | 15:20:42.970 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #79 (qwen3:4b-instruct):  **
backend-1   | 15:20:43.193 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #80 (qwen3:4b-instruct): iPhone
backend-1   | 15:20:43.644 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #82 (qwen3:4b-instruct): 1
backend-1   | 15:20:43.951 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #83 (qwen3:4b-instruct): 3
backend-1   | 15:20:44.216 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #84 (qwen3:4b-instruct):  Pro
backend-1   | 15:20:45.442 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #85 (qwen3:4b-instruct): **
backend-1   | 
backend-1   | 15:20:46.157 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #87 (qwen3:4b-instruct):  -
backend-1   | 15:20:46.448 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #88 (qwen3:4b-instruct):  Description
backend-1   | 15:20:46.697 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #89 (qwen3:4b-instruct): :
backend-1   | 15:20:47.012 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #90 (qwen3:4b-instruct):  Latest
backend-1   | 15:20:47.258 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #91 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:47.485 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #92 (qwen3:4b-instruct):  model
backend-1   | 15:20:48.030 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #93 (qwen3:4b-instruct):  with
backend-1   | 15:20:48.241 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #94 (qwen3:4b-instruct):  A
backend-1   | 15:20:48.433 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #95 (qwen3:4b-instruct): 1
backend-1   | 15:20:48.672 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #96 (qwen3:4b-instruct): 5
backend-1   | 15:20:48.885 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #97 (qwen3:4b-instruct):  B
backend-1   | 15:20:49.148 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #98 (qwen3:4b-instruct): ionic
backend-1   | 15:20:49.392 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #99 (qwen3:4b-instruct):  chip
backend-1   | 15:20:49.644 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #100 (qwen3:4b-instruct): ,
backend-1   | 15:20:49.831 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #101 (qwen3:4b-instruct):  Pro
backend-1   | 15:20:50.254 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #102 (qwen3:4b-instruct):  camera
backend-1   | 15:20:50.502 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #103 (qwen3:4b-instruct):  system
backend-1   | 15:20:50.734 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #104 (qwen3:4b-instruct): ,
backend-1   | 15:20:51.225 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #105 (qwen3:4b-instruct):  and
backend-1   | 15:20:51.482 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #106 (qwen3:4b-instruct):  Super
